"trial","ref_position","var_area","response","correct","rt"
1,"L",9.75151868723333,"R",TRUE,4.98899984359741
2,"R",14.1035552625544,"L",TRUE,1.28099989891052
3,"R",8.64141705655493,"R",TRUE,1.49300003051758
4,"R",9.01076388568617,"R",FALSE,1.79200005531311
5,"R",9.66263556014746,"L",TRUE,1.79500007629395
6,"R",14.5670266924426,"L",TRUE,1.29900002479553
7,"R",13.0632557170466,"L",TRUE,1.48900008201599
8,"L",8.81590314768255,"L",TRUE,1.2960000038147
9,"R",10.532076701289,"R",FALSE,1.29100012779236
10,"L",11.8530834463891,"L",FALSE,1.18799996376038
11,"L",9.8792188228108,"R",TRUE,1.39400005340576
12,"L",8.7684674274642,"R",FALSE,1.30100011825562
13,"L",13.5461580415722,"R",TRUE,1.7039999961853
14,"R",12.8277397190686,"L",TRUE,1.5789999961853
15,"L",11.861653646687,"R",TRUE,1.08300018310547
16,"R",12.9667953003664,"L",TRUE,1.18699979782104
17,"L",11.9295674613677,"R",TRUE,1.28500008583069
18,"L",11.8280114801601,"R",TRUE,1.39499998092651
19,"L",13.6351021709852,"R",TRUE,1.09699988365173
20,"L",13.8353896599729,"R",TRUE,1.27499985694885
21,"L",10.3711613665801,"R",TRUE,1.59999990463257
22,"L",10.8309967389796,"R",TRUE,1.08699989318848
23,"L",9.35566025879234,"R",TRUE,1.38499999046326
24,"R",9.98050880199298,"R",FALSE,1.09500002861023
25,"R",11.558849907713,"L",TRUE,0.882999897003174
